00,Dutchbird Airlines
2B,ATA Aerocondor
2D,Aero Vip S.A.
2E,Smokey Bay Air
2F,Frontier Flying
2G,Northwest Seaplane
2J,Air Burkina
2K,Aero Galapagos
2L,Helvetic Airways
2M,Moldavian Airlines
2N,Trans Yuzmashavia
2P,Philippines Corp
2U,Air Guinee Express
2W,Welcome Luftfahrt
2Y,Air Andaman Corp
3B,Burkina Airlines
3C,Corporate Airlines
3D,Denim Air
3E,East Asia Airlines
3F,Pacific Airways
3G,AtlantSoyuz Air
3H,Air Inuit Ltd/Ltee
3J,Zip Air Inc.
3L,InterSky Luftfahrt
3M,Gulfstream Intl
3N,Air Urga
3P,Thai Pacific Co
3Q,China Yunnan Air
3R,Avia Air N.V
3S,Air Guyane S.P.
3T,Turan Air Airline
3U,Sichuan Airlines
3V,TNT Airways S.A.
3W,Euromanx
3X,Japan Air Commuter
3Z,Necon Air Ltd.
4A,Air Kiribati
4B,Olson Air Service
4C,Aires S.A.
4D,Air Sinai
4E,Tanana Air Service
4G,Gazpromavia Av Co
4J,Nationwide Zambia
4K,Kenn Borek Air
4L,Air Astana
4M,Lan Dominicana
4N,Air North
4O,Ocean Airlines
4R,HI Hamburg Intl
4S,Aero Honduras Sol
4T,Belair Airlines
4U,Germanwings GmbH
4V,Birdy Airlines
4W,Warbelow's Venture
4Z,SA Airlink
5A,Alpine Aviation
5D,Aerolitoral SA CV
5E,Equaflight Service
5F,Arctic Circle Air
5G,Skyservice Air
5H,Star Air
5J,CEBU Pacific Air
5K,State Co Odessa
5L,Boliviana Trans
5M,Joint Stock SIAT
5N,Arkhangelsk Air
5P,Sky Europe Hungary
5Q,Keenair Charter
5R,Karthago Airlines
5S,Servicios Aereos
5T,NorTerra Canadian
5U,Aereas Estado
5V,Lviv Airlines
5W,Astraeus Ltd.
6A,AVIACConsorcio
6B,Britannia Airways
6C,Cape Smythe Air
6D,Pelita Air
6E,City Air Germany
6F,Aerotrans Airlines
6G,Air Wales Limited
6H,Israir Tourism
6J,Skynet Asia
6K,Asian Spirit
6L,Aklak Inc.
6P,Clubair Sixgo SPA
6Q,Slovak Airlines
6S,Kato Airline A.S.
6T,Air Mandalay Ltd.
6U,Air Ukraine
6V,Axis Airways
6W,Saratov Stock Co
6Y,Latcharter Air
7A,Afric'Air Charter
7B,Krasnoyarsk Air
7D,Co Donbassaero
7E,Aeroline GmbH
7F,First Air
7H,Era Aviation
7J,State Tajikistan
7K,Kogalymavia JSC
7M,Tyumen Airlines
7N,Inland Aviation
7P,Batavia Metro
7Q,Tebisti Air Libya
7R,Red Sea Air
7S,Arctic Transport
7U,Aviaenergo
7V,Pelican CC Pelican
7W,Av Assistance
7Z,Laker (Bahamas)
8B,Caribbean Star
8D,Servant Air, Inc.
8E,Bering Air Inc.
8F,Fischer Air s.r.o.
8G,Angel Airlines Co
8J,Komiinteravia
8K,Angel Airlines
8L,Redhill Aviation
8M,Myanmar Intl
8N,Nordkalottflyg AB
8O,West Coast Air
8P,Pacific Coastal
8T,Air Tindi Ltd.
8U,Afriqiyah Airways
8V,Wright Air
8Y,Air Burundi
8Z,Linea Aerea
90,Song
9A,Visa Limited
9C,Wimbi Dira Airways
9E,Pinnacle Airlines
9H,Dutch Eagle Expr
9J,Pacific Island Av
9K,Cape Air
9L,Colgan Air
9M,Central Mountain
9N,Servicio Aereo
9P,Panair S.p.A
9Q,PB Air Limited
9R,Phuket Airlines
9T,Transwest Air
9U,Air Moldova
9V,Aviones Oriente
9W,Jet (India)
9X,Transporti Aerei
9Y,Air Kazakhstan
A2,Cielos del Peru
A3,Aegean Airlines
A4,Southern Winds
A5,Airlinair
A6,AAA Air Alps Av
A7,Air Comet S.A.
A8,Benin Golf Air
A9,Airzena Georgian
AA,American Airlines
AB,Air Berlin
AC,Air Canada
AD,Paradise Intl
AE,Mandarin Airlines
AF,Air France
AH,Air Algerie
AI,Air-India Limited
AJ,Aero Contractors
AK,Airasia Sdn Bhd.
AL,Skyway Airlines
AM,Aeromexico
AO,Australian Air
AP,Air One
AQ,Aloha Airlines
AR,Aerolineas Ar
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Cielos del Sur
AV,Avianca Aerovias
AW,Dirgantara Air
AX,Trans States Air
AY,Finnair Oyj
AZ,Alitalia
B2,Belavia
B3,Bellview Airlines
B5,Amadeus Flugdienst
B6,JetBlue Airways
B7,UNI Corporation
B8,Eritrean Airlines
B9,Iran Air Tours
BA,British Airways
BB,Seaborne Airlines
BC,Skymark Airlines
BD,British Midland
BE,Flybe
BG,Biman Bangladesh
BH,Hawkair Aviation
BI,Royal Brunei Air
BJ,Nouvelair Tunisie
BL,Pacific Airlines
BN,Horizon Air Pty
BP,Air Botswana Corp
BQ,Aeromar Airlines
BR,EVA Corporation
BS,British Intl
BT,Air Baltic Corp
BU,Braathens ASA
BV,Blue Panorama Air
BW,BWIA West Indies
BX,Coast Air A.S.
BZ,Keystone Air
C2,Air Luxor STP
C4,Zimex Aviation
C5,Champlain Entrpr
C6,Canjet Airlines
C7,Rico Linhas Aereas
C8,Chicago Expr Air
C9,Cirrus Airlines
CA,Air China
CB,ScotAirways
CC,Macair Airlines
CD,Alliance Air
CE,Nationwide Air
CF,City Airline AB
CG,Airlines of Papua
CH,Bemidji Airlines
CI,China Airlines
CJ,China Northern
CL,Lufthansa CityLine
CM,COPA Panama
CO,Continental
CQ,Sunshine Expr Pty
CS,Continental Micro
CU,Cubana Aviacion SA
CV,Air Chathams
CW,Air Marshall Is
CX,Cathay Pacific
CY,Cyprus Limited
CZ,China Southern
D2,Severstal Airco
D3,Daallo Airlines
D4,Alidaunia S.R.L.
D6,Interair S. Africa
D7,Dinar Lineas
D8,Djibouti Airlines
D9,Aeroflot-Don
DB,Brit Air
DC,Golden Air Flyg AB
DE,Condor Flugdienst
DF,Aero Baleares
DG,S. East Asian
DH,Independence Air
DI,Luftfahrtgesellsc
DJ,Virgin Blue Pty
DL,Delta
DM,Maersk Air A.S.
DN,Air Deccan
DO,Air Vallee S.p.A.
DP,First Choice
DQ,Coastal Air
DR,Air Link Pty Ltd
DS,Easyjet Switz
DT,TAAG Linhas Aereas
DU,Hemus Air
DV,SCAT Aircompany
DW,Aero-Charter
DX,Danish Air
DY,Norwegian Shuttle
DZ,Transcaraibes Intl
E2,Edelweiss Holdings
E3,Domodedovo Air
E4,Aero Asia Intl
E5,Samara Airlines
E6,AviaExpressCruise
E7,European Av Chart
E8,ALPI Eagles S.p.A.
E9,BostonMaine Corp
EA,European Air Expr
ED,Airblue Limited
EE,Aero Airlines A.S.
EF,Far Eastern Corp
EG,Japan Asia
EH,Air Nippon Network
EI,Aer Lingus Limited
EJ,New England Air
EK,Emirates
EL,Air Nippon Co
EM,Aero Benin S.A.
EN,Air Dolomiti
EO,Hewa Bora Airways
EP,Iran Asseman Air
EQ,TAME Linea Aerea
ET,Ethiopian Air
EV,Atlantic Southeast
EW,Eurowings AG
EX,Aero Santo Dom
EY,Etihad Airways
EZ,Sun of Scandinavia
F2,Fly Hava Yollari
F4,Albarka Air
F5,Cosmic Air Pvt
F6,First Cambodia
F8,Freedom Airlines
F9,Frontier
FA,Airlink Air Ltd
FB,Bulgaria Air
FC,Finnish Comm OY
FD,Thai AirAsia Co
FE,Primaris Airlines
FG,Ariana Afghan Air
FH,Futura Intl
FI,Icelandair
FJ,Air Pacific Ltd.
FK,Keewatin Air
FL,AirTran
FM,Shanghai Airlines
FN,Regional Air Lines
FO,Air of Tasmania
FR,Ryanair Ltd.
FS,Mission Fellowship
FT,Siem Reap Intl
FU,Air Littoral
FV,Pulkovo Aviation
FW,Fair Incorporated
FY,Northwest Regional
FZ,Alisea Air SPA
G2,Avirex Gabon
G3,Gol Areos Ltda
G4,Allegiant Air
G5,Joint St Co Enkor
G7,Gandalf Airlines
G8,Air Service Gabon
G9,Air Arabia
GA,Garuda Indonesia
GC,Gambia Intl Air
GD,Alpha Greenland
GE,TransAsia Corp
GF,Gulf Air GSC
GH,Ghana Corp
GI,Air ITEKAIR
GJ,Eurofly S.p.A.
GK,Go One Airways
GM,Air Slovakia BWJ
GN,Air Gabon
GP,Palau Trans Pac
GQ,Big Sky Airlines
GR,Aurigny Air
GS,Grant Aviation
GT,GB Airways Ltd.
GU,AVIATECA, S.A.
GV,Aero Flight
GW,Air Lines of Kuban
GY,TriMG Intra Asia
GZ,Air Rarotonga
H2,Sky Sky Airline
H3,Harbour Air Ltd.
H4,Heli Securite Air
H5,Magadan Airlines
H6,Hageland Aviation
H7,Eagle Air Ltd.
H8,Dalavia Far East
H9,Haiti Av d'Ayiti
HA,Hawaiian Airlines
HC,Lip-Air Pty Ltd.
HD,Hokkaido Intl Air
HE,LGW-Luftfahrtgesel
HF,Hapag Lloyd
HG,Aero Lloyd Austria
HH,Islandsflug HF
HI,Papillon Airways
HK,Yangon Limited
HM,Air Seychelles
HO,Antinea Airlines
HP,America West
HQ,Harmony
HR,Hahn Air Lines
HS,Svenska Direktflyg
HT,Aeromist Kharkiv
HU,Hainan Airlines
HV,Transavia Airlines
HW,NorthWright
HX,Trans North Av
HY,Uzbekistan Yullary
HZ,Sakhalinskie
IA,Iraqi Airways
IB,Iberia Lineas
IC,Indian Airlines
ID,Interlink (Pty)
IE,Solomon Airlines
IF,Islas Airways
IG,Meridiana S.p.A.
IH,Falcon Air AB
IK,IMAIR Airline
IL,LankAir Limited
IM,Menajet
IN,Macedonian Airlnes
IO,Indonesian Air
IP,Atyrau Aue Joly
IQ,Augsburg Airways
IR,Iran Air
IS,Island Airlines
IV,Wind Jet S.p.A.
IW,Air Liberte
IY,Yemenia Yemen
IZ,Arkia Israeli
J2,Azerbaijan Yollary
J3,Northwestern Lease
J4,Buffalo Airways
J5,Alaska Seaplane
J6,Larry's Flying
J7,Joint Stock Co
J8,Berjaya Air Bhd
JA,Air Bosna
JB,Helijet Intl
JC,JAL Express
JE,Manx Airlines
JF,LAB Flying
JJ,TAM Linhas Aereas
JK,Spanair S.A.
JL,Japan Airlines
JM,Air Jamaica
JN,Excel Airways
JO,JALways Co. Ltd.
JP,Adria Airways
JQ,Jetstar Pty
JR,Aero California
JS,Air Koryo
JT,Lion Airlines
JU,Jat Airways
JV,Bearskin Airlines
JW,Skippers Av Pty
JX,Nice Helicopteres
JY,InterIsland
JZ,Skyways AB
K2,EuroLot S.A.
K3,Taquan Air
K4,Kronflyg
K5,Wings of Alaska
K6,Khalifa Airways
K7,Arizona Expr Air
K8,Dutch Caribbean
K9,Skyward Aviation
KA,Dragonair
KB,Druk Air Corp
KC,Trans Atlantic
KD,Kaliningradavia
KE,Korean Air Lines
KF,Blue1 Oy
KI,Adam Skyconnection
KJ,Brit Mediterranean
KK,Atlasjet
KL,KLM Royal Dutch
KM,Air Malta p.l.c.
KP,Kiwi Intl Air
KQ,Kenya Airways
KS,Penair
KT,Katmai Air LLC
KU,Kuwait Airways
KV,Kavminvodyavia
KX,Cayman Airways
KY,Linhas Aereas Tome
L3,LTU Billa
L4,Lauda Air S.p.A.
L5,Helikopter
L6,Tbilaviamsheni
L7,Laoag Intl Air
L8,Air Luxor GB, Lda
L9,Teamline Luftfahrt
LA,Lan Chile S.A.
LB,Lloyd Aereo Bol
LF,Nordic East Air
LG,Luxair
LH,Lufthansa
LI,LIAT (1974) Ltd.
LJ,Sierra National
LK,Air Luxor, S.A.
LL,Lineas Aereas
LM,Livingston S.p.A.
LN,Libyan Arab Air
LO,LOT Polish Air
LP,Lan Peru S.A.
LQ,Lebanese Air Trans
LR,LACSA
LS,Channel Expr Air
LT,LTU International
LU,Transporte Aereo
LV,Albanian MAK SHPK
LW,Pacific Wings
LX,Swiss Intl Air
LY,El Al Israel Air
M2,Mahfooz Av
M3,North Flying A.S.
M4,Avioimpex po
M5,Kenmore Air
M7,Tropical d'Haiti
M8,Mekong Airlines
M9,Motor-Sich JSC
MA,Malev Hungarian
MD,Air Madagascar
ME,Middle E. AirLiban
MF,Xiamen Airlines
MG,Grand Holdings
MH,Malaysia Berhad
MI,SilkAir (S) Pte
MJ,Aereas Privadas Ar
MK,Air Mauritius
ML,African Transport
MM,Aero de Medellin
