DHF,Al Dhafra Military,AE
AZI,Bateen,AE
AUH,Abu Dhabi Intl,AE
AAN,Al Ain,AE
FJR,Fujairah Intl Arpt,AE
DXB,Dubai International,AE
NHD,Military Airport,AE
RKT,Ras Al Khaimah,AE
SHJ,Sharjah,AE
BIN,Bamiyan,AF
BST,Bost,AF
CCN,Chakcharan,AF
DAZ,Darwaz,AF
FBD,Faizabad,AF
FAH,Farah,AF
GRG,Gardez,AF
GZI,Ghazni,AF
HEA,Herat,AF
JAA,Jalalabad,AF
KBL,Khwaja Rawash,AF
KDH,Kandahar,AF
KHT,Khost,AF
KWH,Khwahan,AF
UND,Kunduz,AF
KUR,Kuran-O-Munjan,AF
MMZ,Maimana,AF
MZR,Mazar-I-Sharif,AF
IMZ,Nimroz,AF
LQN,Qala Nau,AF
SBF,Sardeh Band,AF
SGA,Sheghnan,AF
TQN,Taluqan,AF
TII,Tirinkot,AF
URN,Urgoon,AF
URZ,Uruzgan,AF
ZAJ,Zaranj,AF
ANU,V.C. Bird Intl,AG
BBQ,Barbuda,AG
AXA,Wallblake,AI
TIA,Rinas,AL
LWN,Gyoumri,AM
EVN,Yerevan,AM
BON,Flamingo Intl,AN
CUR,Aeropuerto Hato,AN
SAB,J. Yrausquin,AN
EUX,F D Roosevelt,AN
SXM,Princ. Juliana,AN
AZZ,Ambriz,AO
ANL,Andulo,AO
BUG,Gen V Deslandes,AO
CAB,Cabinda,AO
CFF,Cafunfo,AO
CNZ,Cangamba,AO
KNP,Capanda,AO
CBT,Catumbela,AO
CAV,Cazombo,AO
PGI,Chitato,AO
CTI,Cuito Cuanavale,AO
DRC,Dirico,AO
DUE,Dundo,AO
NOV,Huambo,AO
JMB,Jamba,AO
SVP,Kuito,AO
LAD,4 de Fevereiro,AO
UAL,Luau,AO
SDD,Lubango,AO
LUO,Luena,AO
LBZ,Lukapa,AO
GGC,Lumbala,AO
LZM,Luzamba,AO
SSY,M'Banza Congo,AO
MEG,Malange,AO
SPP,Menongue,AO
NRQ,N'Riquinha,AO
ARZ,N'Zeto,AO
MSZ,Namibe,AO
NDF,Ndalatandos,AO
GXG,Negage,AO
NGV,Ngiva,AO
NZA,Nzagi,AO
VPE,Ongiva,AO
PBN,Porto Amboim,AO
VHC,Saurimo,AO
SZA,Soyo,AO
NDD,Sumbe,AO
UGO,Uige,AO
CEO,Waco Kungo,AO
XGN,Xangongo,AO
TNM,Teniente R. Marsh,AQ
BHI,Comandante,AR
BUE,All airports,AR
EZE,Ministro Pistarini,AR
AEP,Arpt. Jorge Newbery,AR
CPG,Carmen De Patagones,AR
CSZ,Hector Ruiz,AR
EPA,El Palomar,AR
VGS,General Villegas,AR
JNI,Junin,AR
LPG,La Plata,AR
MDQ,Mar Del Plata,AR
MJR,Miramar,AR
NEC,Necochea,AR
OVR,Olavarria,AR
PEH,Pehuajo,AR
SZQ,Saenz Pena,AR
SST,Santa Teresita,AR
TDL,Tandil,AR
OYO,Tres Arroyos,AR
VLG,Villa Gesell,AR
CTC,Catamarca,AR
ARR,Alto Rio Senguerr,AR
OLN,Colonia Sarmiento,AR
CRD,Comodoro Rivadavia,AR
EMX,El Maiten,AR
EQS,Esquel,AR
JSM,Jose De San Martin,AR
PMY,El Tehuelche,AR
ROY,Rio Mayo,AR
REL,Trelew,AR
COR,Pajas Blancas,AR
LCM,La Cumbre,AR
RCU,Rio Cuarto,AR
VDR,Villa Dolores,AR
CNT,Charata,AR
PRQ,Pres. Roque Saenz Pena,AR
RES,Resistencia,AR
CNQ,Camba Punta,AR
UZU,Curuzu Cuatia,AR
OYA,Goya,AR
MDX,Mercedes,AR
MCS,Monte Caseros,AR
AOL,Paso De Los Libres,AR
COC,Concordia,AR
GHU,Gualeguaychu,AR
PRA,Parana,AR
CLX,Clorinda,AR
FMA,El Pucu,AR
LLS,Las Lomitas,AR
GPO,General Pico,AR
RSA,Santa Rosa,AR
IRJ,La Rioja,AR
LGS,Malargue,AR
MDZ,El Plumerillo,AR
AFA,San Rafael,AR
ELO,Eldorado,AR
IGR,Cataratas,AR
PSS,Posadas,AR
CVH,Caviahue,AR
HOS,Oscar Reguera,AR
CUT,Cutral,AR
LCP,Loncopue,AR
NQN,Neuquen,AR
RDS,Rincon de los Sauces,AR
CPC,Chapelco,AR
APZ,Zapala,AR
JUJ,El Cadillal,AR
CCT,Colonia Catriel,AR
EHL,El Bolson,AR
GNR,General Roca,AR
IGB,Ingeniero Jacobacci,AR
LMD,Los Menucos,AR
MQD,Maquinchao,AR
OES,San Antonio Oeste,AR
BRC,San Carlos DeBariloche,AR
SGV,Sierra Grande,AR
VCF,Valcheta,AR
VDM,Viedma,AR
ORA,Oran,AR
SLA,Gen Belgrano,AR
TTG,Tartagal,AR
CVI,Caleta Olivia,AR
FTE,El Calafate,AR
GGS,Gobernador Gregores,AR
ING,Lago Argentino,AR
LHS,Las Heras,AR
PMQ,Perito Moreno,AR
PUD,Puerto Deseado,AR
RGL, Intl,AR
RYO,Rio Turbio,AR
ULA,San Julian,AR
RZA,Santa Cruz,AR
RHD,Rio Hondo,AR
SDE,Santiago Del Estero,AR
CRR,Ceres,AR
RCQ,Reconquista,AR
ROS,Fisherton,AR
SFN,Santa Fe,AR
UAQ,San Juan,AR
RLO,Valle Del Conlara,AR
LUQ,San Luis,AR
VME,Villa Mercedes,AR
RGA,Rio Grande,AR
USH,Islas Malvinas,AR
TUC,Benj Matienzo,AR
FTI,Fitiuta,AS
OFU,Ofu,AS
PPG,Pago Pago,AS
TAV,Tau,AS
GRZ,Thalerhof,AT
HOH,Hohenems,AT
INN,Kranebitten,AT
KLU,Klagenfurt,AT
LNZ,Hoersching,AT
SZG,W.A. Mozart,AT
ANT,St Anton,AT
VIE,Vienna International,AT
VDD,Vienna Danubepier,AT
CBR,Canberra,AU
ABX,Albury,AU
ARM,Armidale,AU
BNK,Ballina Byron,AU
BZD,Balranald,AU
BWU,Bankstown,AU
BHS,Raglan,AU
BRK,Bourke,AU
BWQ,Brewarrina,AU
BHQ,Broken Hill,AU
CDU,Camden,AU
CSI,Casino,AU
CES,Cessnock,AU
CAZ,Cobar,AU
CFS,Coffs Harbour,AU
CRB,Collarenebri,AU
CBX,Condobolin,AU
CLH,Coolah,AU
OOM,Cooma,AU
COJ,Coonabarabran,AU
CNB,Coonamble,AU
CMD,Cootamundra,AU
CWW,Corowa,AU
CWT,Cowra,AU
CUG,Cudal,AU
DNQ,Deniliquin,AU
DBO,Dubbo,AU
EVH,Evans Head,AU
FLY,Finley,AU
FRB,Forbes,AU
FOT,Forster,AU
GLI,Glen Innes,AU
GOS,Gosford,AU
GUL,Goulburn,AU
GFN,Grafton,AU
GFE,Grenfell,AU
GFF,Griffith,AU
GUH,Gunnedah,AU
HXX,Hay,AU
IVR,Inverell,AU
KPS,Kempsey,AU
LHG,Lightning Ridge,AU
LSY,Lismore,AU
LDH,Lord Howe Island,AU
MVH,Macksville,AU
MTL,Maitland,AU
MIM,Merimbula,AU
MRZ,Moree,AU
MYA,Moruya,AU
DGE,Mudgee,AU
NBH,Nambucca Heads,AU
NAA,Narrabri,AU
NRA,Narrandera,AU
NTL,Williamtown,AU
BEO,Belmont,AU
NOA,Nowra,AU
NYN,Nyngan,AU
OAG,Springhill,AU
PKE,Parkes,AU
PHJ,Port Hunter,AU
PQQ,Port Macquarie,AU
PTE,Port Stephens,AU
UIR,Quirindi,AU
NSO,Scone,AU
SIX,Singleton,AU
LBH,Palm Beach SPB,AU
SWZ,Sydney West,AU
RSE,Au-Rose Bay,AU
SYD,Kingsford Smith,AU
TMW,Tamworth,AU
TRO,Taree,AU
TEM,Temora,AU
TYB,Tibooburra,AU
TCW,Tocumwal,AU
TUM,Tumut,AU
WGA,Forrest Hill,AU
WLC,Walcha,AU
WGE,Walgett,AU
WAU,Wauchope,AU
WEW,Wee Waa,AU
WWY,West Wyalong,AU
WIO,Wilcannia,AU
WOL,Wollongong,AU
NGA,Young,AU
AXL,Alexandria,AU
ASP,Alice Springs,AU
AYD,Alroy Downs,AU
AMT,Amata,AU
AMX,Ammaroo,AU
ANZ,Angus Downs,AU
AYL,Anthony Lagoon,AU
AWP,Austral Downs,AU
AVG,Auvergne,AU
AYQ,Connellan,AU
BYX,Baniyala,AU
BRT,Bathurst Island,AU
BCZ,Bickerton Island,AU
BOX,Borroloola,AU
BTD,Brunette Downs,AU
CFI,Camfield,AU
CTR,Cattle Creek,AU
CDA,Cooinda,AU
COB,Coolibah,AU
CSD,Cresswell Downs,AU
CKI,Croker Island,AU
DVR,Daly River,AU
DYW,Daly Waters,AU
DRW,Darwin,AU
DLV,Delissaville,AU
DKV,Docker River,AU
ELC,Elcho Island,AU
EKD,Elkedra,AU
EDD,Erldunda,AU
EVD,Eva Downs,AU
FIK,Finke,AU
GPN,Garden Point,AU
GBL,Goulburn Island,AU
GOV,Nhulunbuy,AU
GTS,Granites,AU
GTE,Alyangula,AU
HRY,Henbury,AU
HMG,Hermannsburg,AU
HOK,Hooker Creek,AU
HUB,Humbert River,AU
IVW,Inverway,AU
JAB,Jabiru,AU
KFG,Kalkurung,AU
KTR,Tindal,AU
KBJ,King Canyon,AU
KCS,Kings Creek Station,AU
KBB,Kirkimbie,AU
KGR,Kulgera,AU
KRD,Kurundi,AU
LEL,Lake Evella,AU
LNH,Lake Nash,AU
LIB,Limbunya,AU
MNW,Macdonald Downs,AU
MIZ,Mainoru,AU
MNG,Maningrida,AU
MFP,Manners Creek,AU
MQE,Marqua,AU
MCV,Mcarthur River,AU
MGT,Milingimbi,AU
MIY,Mittiebah,AU
MRT,Moroak,AU
MSF,Mount Swan,AU
MNV,Mountain Valley,AU
MKV,Mt Cavenagh,AU
MTD,Mt Sandford,AU
MUP,Mulga Park,AU
NPP,Napperby,AU
NRY,Newry,AU
RPM,Ngukurr,AU
NUB,Numbulwar,AU
UTD,Nutwood Downs,AU
OPI,Oenpelli,AU
PEP,Peppimenarti,AU
PKT,Port Keats,AU
RAM,Ramingining,AU
RRV,Robinson River,AU
RDA,Rockhampton Downs,AU
RPB,Roper Bar,AU
RPV,Roper Valley,AU
SHU,Smith Point,AU
SNB,Snake Bay,AU
TCA,Tennant Creek,AU
TBK,Timber Creek,AU
TYP,Tobermorey,AU
VCD,Victoria River Downs,AU
WLO,Waterloo,AU
WAV,Kalkgurung,AU
WLL,Wollogorang,AU
WOG,Woodgreen,AU
YUE,Yuendumu,AU
ABG,Abingdon,AU
AGW,Agnew,AU
WSY,Whitsunday Airstrip,AU
ABH,Alpha,AU
AXC,Aramac,AU
AAB,Arrabury,AU
AUD,Augustus Downs,AU
AUU,Aurukun Mission,AU
AYR,Ayr,AU
BDD,Badu Island,AU
ABM,Bamaga,AU
BCI,Barcaldine,AU
BKP,Barkly Downs,AU
BVW,Batavia Downs,AU
BEU,Bedourie,AU
BTX,Betoota,AU
ZBL,Biloela,AU
BVI,Birdsville,AU
BZP,Bizant,AU
BKQ,Blackall,AU
BLT,Blackwater,AU
BFC,Bloomfield,AU
GIC,Boigu Island,AU
BLS,Bollon,AU
BCK,Bolwarra,AU
BQL,Boulia,AU
ZBO,Bowen,AU
BMP,Brampton Island,AU
BHT,Brighton Downs,AU
BNE,Brisbane,AU
BIP,Bulimba,AU
BDB,Bundaberg,AU
BUC,Burketown,AU
CNS,Cairns,AU
CUD,Caloundra,AU
CML,Camooweal,AU
CBY,Canobie,AU
CQP,Cape Flattery,AU
CFP,Carpentaria Downs,AU
CTL,Charleville,AU
CXT,Charters Towers,AU
CRH,Cherribah,AU
LLG,Chillagoe,AU
CCL,Chinchilla,AU
CMQ,Clermont,AU
CNJ,Cloncurry,AU
CZY,Cluny,AU
CNC,Coconut Island,AU
CUQ,Coen,AU
KCE,Collinsville,AU
CTN,Cooktown,AU
CDQ,Croydon,AU
CMA,Cunnamulla,AU
DBY,Dalby,AU
NLF,Darnley Island,AU
DAJ,Dauan Island,AU
DVP,Davenport Downs,AU
DDI,Daydream Is,AU
DDN,Delta Downs,AU
DYM,Diamantina Lakes,AU
DRN,Dirranbandi,AU
DXD,Dixie,AU
DMD,Doomadgee,AU
DRD,Dorunda Station,AU
DFP,Drumduff,AU
DNB,Dunbar,AU
DKI,Dunk Island,AU
DHD,Durham Downs,AU
DRR,Durrie,AU
DYA,Dysart,AU
EDR,Edward River,AU
EIH,Einasleigh,AU
EMD,Emerald,AU
GBP,Gamboola,AU
GAH,Gayndah,AU
GTT,Georgetown,AU
GLT,Gladstone,AU
GLG,Glengyle,AU
GLM,Glenormiston,AU
OOL,Gold Coast,AU
GOO,Goondiwindi,AU
GKL,Great Keppel Island,AU
GVP,Greenvale,AU
GGD,Gregory Downs,AU
GYP,Gympie,AU
HTI,Hamilton Island,AU
HIS,Hayman Island,AU
HIP,Headingly,AU
HAT,Heathlands,AU
HLV,Helenvale,AU
HVB,Hervey Bay,AU
HIG,Highbury,AU
HNK,Hinchinbrook Island,AU
HIH,Hook Island,AU
HPE,Hope Vale,AU
HID,Horn Island,AU
HGD,Hughenden,AU
IFF,Iffley,AU
IGH,Ingham,AU
INJ,Injune,AU
IKP,Inkerman,AU
IFL,Innisfail,AU
ISI,Isisford,AU
JCK,Julia Creek,AU
JUN,Jundah,AU
KPP,Kalpowar,AU
